Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored,Effectiveness
addedVarsHumanoid458,10,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS1.spectra,1,1,0.017,0.018,600,False,2,0.5
addedVarsHumanoid458,1,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS2.spectra,1,1,0.016,0.016,600,False,2,0.5
addedVarsHumanoid458,2,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS2.spectra,1,1,0.02,0.02,600,False,2,0.5
addedVarsHumanoid458,3,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS2.spectra,1,1,0.02,0.021,600,False,2,0.5
addedVarsHumanoid458,4,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS2.spectra,1,1,0.017,0.017,600,False,2,0.5
addedVarsHumanoid458,5,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS2.spectra,1,1,0.017,0.018,600,False,2,0.5
addedVarsHumanoid458,6,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS2.spectra,1,1,0.017,0.017,600,False,2,0.5
addedVarsHumanoid458,7,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS2.spectra,1,1,0.02,0.02,600,False,2,0.5
addedVarsHumanoid458,8,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS2.spectra,1,1,0.017,0.017,600,False,2,0.5
addedVarsHumanoid458,9,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS2.spectra,1,1,0.017,0.018,600,False,2,0.5
addedVarsHumanoid458,10,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS2.spectra,1,1,0.016,0.016,600,False,2,0.5
addedVarsHumanoid458,1,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS3.spectra,1,1,0.019,0.019,600,False,2,0.5
addedVarsHumanoid458,2,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS3.spectra,1,1,0.019,0.019,600,False,2,0.5
addedVarsHumanoid458,3,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS3.spectra,1,1,0.018,0.018,600,False,2,0.5
addedVarsHumanoid458,4,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS3.spectra,1,1,0.018,0.018,600,False,2,0.5
addedVarsHumanoid458,5,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS3.spectra,1,1,0.018,0.018,600,False,2,0.5
addedVarsHumanoid458,6,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS3.spectra,1,1,0.023,0.023,600,False,2,0.5
addedVarsHumanoid458,7,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS3.spectra,1,1,0.017,0.017,600,False,2,0.5
addedVarsHumanoid458,8,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS3.spectra,1,1,0.02,0.021,600,False,2,0.5
addedVarsHumanoid458,9,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS3.spectra,1,1,0.017,0.018,600,False,2,0.5
addedVarsHumanoid458,10,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS3.spectra,1,1,0.018,0.018,600,False,2,0.5
addedVarsHumanoid458,1,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS4.spectra,1,1,0.018,0.018,600,False,2,0.5
addedVarsHumanoid458,2,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS4.spectra,1,1,0.018,0.019,600,False,2,0.5
addedVarsHumanoid458,3,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS4.spectra,1,1,0.022,0.022,600,False,2,0.5
addedVarsHumanoid458,4,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS4.spectra,1,1,0.018,0.018,600,False,2,0.5
