Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored,DuplicateNodes,NumInterpolantsComputed,NumNonStateSeparable,Effectiveness,NodesToFirst,DepthToFirst,NumYUnsat,NumYUnsatNoFalse,NumFullyNonIOSeparable,MinNumVariables
AMBA-1,9,inputs/AMBA-1/amba08_no_safety_0.spectra,0,-1,,854.3866278919159,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,10,inputs/AMBA-1/amba08_no_safety_0.spectra,0,-1,,837.6271669639973,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,1,inputs/AMBA-1/amba08_noassumptions.spectra,0,-1,,660.179140215012,600.0,True,2,0,1,0,0.0,,,0,0,0,
AMBA-1,2,inputs/AMBA-1/amba08_noassumptions.spectra,0,-1,,660.1681803690735,600.0,True,2,0,1,0,0.0,,,0,0,0,
AMBA-1,3,inputs/AMBA-1/amba08_noassumptions.spectra,0,-1,,659.9201508739498,600.0,True,2,0,1,0,0.0,,,0,0,0,
AMBA-1,4,inputs/AMBA-1/amba08_noassumptions.spectra,0,-1,,660.2793082750868,600.0,True,2,0,1,0,0.0,,,0,0,0,
AMBA-1,5,inputs/AMBA-1/amba08_noassumptions.spectra,0,-1,,660.0055341629777,600.0,True,2,0,1,0,0.0,,,0,0,0,
AMBA-1,6,inputs/AMBA-1/amba08_noassumptions.spectra,0,-1,,659.5615346140112,600.0,True,2,0,1,0,0.0,,,0,0,0,
AMBA-1,7,inputs/AMBA-1/amba08_noassumptions.spectra,0,-1,,659.7899246519664,600.0,True,2,0,1,0,0.0,,,0,0,0,
AMBA-1,8,inputs/AMBA-1/amba08_noassumptions.spectra,0,-1,,659.5531499231001,600.0,True,2,0,1,0,0.0,,,0,0,0,
AMBA-1,9,inputs/AMBA-1/amba08_noassumptions.spectra,0,-1,,660.3494824960362,600.0,True,2,0,1,0,0.0,,,0,0,0,
AMBA-1,10,inputs/AMBA-1/amba08_noassumptions.spectra,0,-1,,660.4160634749569,600.0,True,2,0,1,0,0.0,,,0,0,0,
AMBA-1,1,inputs/AMBA-1/amba08_nosafety_nofairness.spectra,0,-1,,659.4319900770206,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,2,inputs/AMBA-1/amba08_nosafety_nofairness.spectra,0,-1,,659.4097618019441,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,3,inputs/AMBA-1/amba08_nosafety_nofairness.spectra,0,-1,,659.4250291320495,600.0,True,1,0,0,0,0.0,,,0,0,0,
